ScenarioType,ScenarioName,Description,Executed,ExpectedAlert,ExpectedBehaviorLabel,CapabilityLimited,CapabilityReason,ProcessId,ExecutablePath,StartedAtUtc,EndedAtUtc,AlertRaised,FalsePositive,HighestScore,TriggeredRules,DetectionLatencySeconds,AverageCpuPercent,PeakCpuPercent,AverageWorkingSetMb,PeakWorkingSetMb,Notes
overhead,baseline-self,Current evaluation process overhead before monitoring starts.,True,,,False,,,,,,,,,,,0.15,0.51,23.15,23.48,Used as a lightweight baseline before the detection pipeline is started.
overhead,monitoring-idle,Current evaluation process overhead while KeylogSense monitoring is active with no scenarios running.,True,,,False,,,,,,,,,,,4.41,16.63,93.93,371.73,File telemetry was unavailable during this run; see limitations in summary.md.
simulator,network-only-temp,Positive control: staged simulator launched from %TEMP% to exercise suspicious location + unsigned publisher + outbound network.,True,True,Positive control,False,,7268,C:\Users\my pc\AppData\Local\Temp\KeylogSense.Evaluation\20260411-140257\network-only-temp\KeyloggerDetection.Simulator.exe,2026-04-11T14:02:57.7537998Z,2026-04-11T14:03:19.3602348Z,True,False,9,Suspicious Location; Untrusted Publisher; Outbound Network Activity,3.62,,,,,
simulator,combined-temp,Positive control: staged simulator launched from %TEMP% with combined network/file/persistence behaviour. Should still alert even if file telemetry is unavailable.,True,True,Positive control,False,,8000,C:\Users\my pc\AppData\Local\Temp\KeylogSense.Evaluation\20260411-140319\combined-temp\KeyloggerDetection.Simulator.exe,2026-04-11T14:03:19.4169880Z,2026-04-11T14:03:41.7124499Z,True,False,9,Suspicious Location; Untrusted Publisher; Outbound Network Activity,2.01,0.30,1.80,42.82,46.64,
simulator,file-only-temp,File logging probe from %TEMP%. Included to measure file telemetry coverage honestly.,True,,Capability-limited observation,True,"ETW file tracing is unavailable in this session, so file-write rules cannot be measured end-to-end.",12260,C:\Users\my pc\AppData\Local\Temp\KeylogSense.Evaluation\20260411-140341\file-only-temp\KeyloggerDetection.Simulator.exe,2026-04-11T14:03:41.7767128Z,2026-04-11T14:03:59.0974347Z,False,False,7,Suspicious Location; Untrusted Publisher,,,,,,
simulator,persistence-only-temp,"Safety-focused persistence probe. The current simulator writes an inert Run-key entry pointing to notepad.exe, so attribution to the simulator PID is not expected.",True,False,Safety limitation control,False,,19084,C:\Users\my pc\AppData\Local\Temp\KeylogSense.Evaluation\20260411-140359\persistence-only-temp\KeyloggerDetection.Simulator.exe,2026-04-11T14:03:59.1589932Z,2026-04-11T14:04:01.3945665Z,False,False,0,,,,,,,This scenario is retained to document the current attribution limitation instead of overclaiming persistence coverage.
benign,notepad,Built-in text editor from System32 used as a signed benign baseline.,True,False,Benign control,False,,3124,C:\WINDOWS\system32\notepad.exe,2026-04-11T14:04:01.4439768Z,2026-04-11T14:04:15.4728832Z,False,False,3,Untrusted Publisher,,,,,,
benign,calc,Built-in calculator used as a benign UI process baseline.,True,False,Benign control,False,,4256,C:\WINDOWS\system32\calc.exe,2026-04-11T14:04:15.4820146Z,2026-04-11T14:04:17.8474450Z,False,False,3,Untrusted Publisher,,,,,,
benign,cmd-timeout,Short-lived console process running from System32.,True,False,Benign control,False,,18964,C:\WINDOWS\system32\cmd.exe,2026-04-11T14:04:17.8607987Z,2026-04-11T14:04:24.9613278Z,False,False,3,Untrusted Publisher,,,,,,
benign,powershell-sleep,Signed PowerShell host kept idle for a short period.,True,False,Benign control,False,,7024,C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe,2026-04-11T14:04:24.9777023Z,2026-04-11T14:04:36.5788733Z,False,False,3,Untrusted Publisher,,,,,,
